id_region	name_region	xcoord	ycoord	zcoord	poprisk	ncases
152	Mortagua	-5703.162675	78004.3234	0	8856	11
153	Moura	64207.72074	-170277.1311	0	13749	71
154	Mourao	73152.56018	-144243.471	0	2456	NA
155	Murca	56871.52481	193902.4794	0	5480	20
156	Murtosa	-44013.97577	118703.706	0	10244	17
157	Nazare	-79357.5348	-5968.332643	0	14180	3
158	Nelas	23504.90411	94712.70026	0	13030	19
159	Nisa	43080.58632	-16644.52075	0	6149	NA
160	Obidos	-89107.42503	-32775.16131	0	11719	NA
161	Odemira	-41631.13576	-227851.9309	0	24621	11
162	Odivelas	-91165.69448	-96846.78409	0	159602	565
163	Oeiras	-96477.82921	-106005.0941	0	176218	443
164	Oleiros	20206.77865	28688.2274	0	5045	NA
165	Olhao	27604.80924	-290854.0543	0	44607	14
166	Oliveira de Azemeis	-29640.417	130485.9711	0	66113	210
167	Oliveira de Frades	-4653.363943	117981.9939	0	9920	12
168	Oliveira do Bairro	-34742.33038	96591.53378	0	23944	39
169	Oliveira do Hospital	24133.14443	76305.6725	0	19331	27
170	Ourem	-38290.54159	531.3689485	0	44068	33
171	Ourique	-9832.035731	-224596.7481	0	4653	NA
172	Ovar	-41483.52152	133001.8339	0	54120	662
173	Pacos de Ferreira	-19471.25703	180606.6588	0	56709	310
174	Palmela	-66626.0353	-113956.2555	0	64214	37
175	Pampilhosa da Serra	20559.90154	47197.61326	0	4052	NA
176	Paredes	-22014.8416	170566.4584	0	86072	337
177	Paredes de Coura	-35550.7108	248569.7015	0	8560	7
178	Pedrogao Grande	-2246.830113	31195.3623	0	3429	4
179	Penacova	-13864.93343	68904.11053	0	13812	22
180	Penafiel	-14405.4733	167050.3343	0	69922	171
181	Penalva do Castelo	36006.88985	111883.9002	0	7175	NA
182	Penamacor	86848.72075	56387.7221	0	4831	NA
183	Penedono	62187.49779	147173.8262	0	2610	NA
184	Penela	-21730.03928	38707.68404	0	5439	5
185	Peniche	-107701.5566	-33431.1467	0	26487	11
186	Peso da Regua	28600.32505	167091.2857	0	15830	65
187	Pinhel	89365.0286	123929.2866	0	8607	23
188	Pombal	-43385.60651	27399.35267	0	51684	60
189	Ponte da Barca	-20683.86508	237187.0189	0	11210	6
190	Ponte de Lima	-37529.65904	231315.378	0	41499	29
191	Ponte de Sor	11126.503	-46746.48516	0	15092	NA
192	Portalegre	60472.68684	-41656.16848	0	22359	6
193	Portel	36987.30237	-151431.5859	0	5870	6
194	Portimao	-36255.87536	-275705.504	0	55416	39
195	Porto	-40528.61643	165047.3624	0	215284	1357
196	Porto de Mos	-59296.66737	-6891.336532	0	23288	9
197	Povoa de Lanhoso	-11235.99933	212075.8648	0	21446	61
198	Povoa de Varzim	-50905.59306	190875.3012	0	62510	158
199	Proenca-a-Nova	19768.95115	6750.130342	0	7390	NA
200	Redondo	46256.77859	-113121.5317	0	6387	NA
201	Reguengos de Monsaraz	50689.66186	-138563.2489	0	10036	7
202	Resende	15857.61705	159269.5673	0	10241	64
203	Ribeira de Pena	26257.52512	205308.2178	0	6031	3
204	Rio Maior	-69656.76746	-36340.24043	0	20340	20
205	Sabrosa	46283.24603	175323.9099	0	5917	7
206	Sabugal	88674.77332	75037.04068	0	10748	NA
207	Salvaterra de Magos	-49389.21015	-69667.62474	0	21268	12
208	Santa Comba Dao	-514.63365	82460.50805	0	10506	9
209	Santa Maria da Feira	-35029.79146	142836.3067	0	138525	481
210	Santa Marta de Penaguiao	29415.08247	169985.2428	0	6649	3
211	Santarem	-47945.96446	-47612.04949	0	57398	123
212	Santiago do Cacem	-47476.73212	-185033.5896	0	28725	18
213	Santo Tirso	-24879.96413	186970.0058	0	68221	393
214	Sao Bras de Alportel	22591.30218	-274438.3914	0	10416	3
215	Sao Joao da Madeira	-30105.30817	136348.951	0	21761	77
216	Sao Joao da Pesqueira	59735.83207	163303.9523	0	7154	NA
217	Sao Pedro do Sul	5510.034841	120856.1411	0	15488	9
218	Sardoal	-1604.979	-13507.41981	0	3739	NA
219	Satao	35432.69391	119786.5425	0	11602	8
220	Seia	37939.22692	81268.59689	0	22412	13
221	Seixal	-86726.70782	-116585.387	0	166835	385
222	Sernancelhe	54210.32288	134438.9183	0	5384	6
223	Serpa	50786.52377	-197708.4977	0	14374	14
224	Serta	4127.762391	17339.66723	0	14682	4
225	Sesimbra	-82846.22898	-124115.1878	0	51559	37
226	Setubal	-63238.50005	-127394.7649	0	115758	105
227	Sever do Vouga	-20759.2816	118047.2751	0	11403	43
228	Silves	-18822.01105	-279591.5054	0	36174	22
229	Sines	-57154.33228	-190545.981	0	13631	NA
230	Sintra	-100799.1026	-98610.82438	0	388434	1173
231	Sobral de Monte Agraco	-87233.71451	-73383.55448	0	10490	7
232	Soure	-40932.76458	42839.08353	0	17277	25
233	Sousel	39275.09793	-77925.97032	0	4454	NA
234	Tabua	9326.985727	77172.70805	0	11403	35
235	Tabuaco	47409.86916	160673.6846	0	6017	NA
236	Tarouca	29357.44906	149623.8339	0	7761	NA
237	Tavira	41547.05365	-274419.0056	0	24750	30
238	Terras de Bouro	-9177.14775	225447.6354	0	6405	10
239	Tomar	-22768.68484	-7731.202293	0	36902	12
240	Tondela	4059.592677	94528.72075	0	26548	13
241	Torre de Moncorvo	89293.08154	168323.601	0	7716	23
242	Torres Novas	-36691.90338	-18829.90297	0	34970	20
243	Torres Vedras	-96649.90235	-63082.48287	0	78220	50
244	Trancoso	65144.99131	123922.0681	0	8946	20
245	Trofa	-33544.30223	184485.4603	0	38317	146
246	Vagos	-46740.25389	93195.49674	0	22685	22
247	Vale de Cambra	-20468.10575	127677.3479	0	21399	155
248	Valenca	-42347.53678	261088.0868	0	13283	12
249	Valongo	-34903.2809	171951.7304	0	96570	757
250	Valpacos	69054.88618	214909.0978	0	14932	6
251	Vendas Novas	-29939.49872	-109736.1293	0	11259	8
252	Viana do Alentejo	11642.11798	-147425.1996	0	5142	NA
253	Viana do Castelo	-56883.23452	226277.2717	0	84636	186
254	Vidigueira	30527.74466	-160926.8796	0	5498	NA
255	Vieira do Minho	-1468.883495	216893.4205	0	11898	42
256	Vila de Rei	-1185.78197	17.90678024	0	3321	NA
257	Vila do Bispo	-68224.49519	-285209.8058	0	5154	NA
258	Vila do Conde	-48911.0546	185400.7442	0	79579	294
259	Vila Flor	83739.09576	179456.3078	0	6073	4
260	Vila Franca de Xira	-78687.28533	-84268.08836	0	141603	413
261	Vila Nova da Barquinha	-25433.69478	-22230.46301	0	7402	NA
262	Vila Nova de Cerveira	-49882.95462	252988.655	0	8877	9
263	Vila Nova de Famalicao	-31110.88544	192270.5418	0	131738	400
264	Vila Nova de Foz Coa	82682.34104	159697.499	0	6541	72
265	Vila Nova de Gaia	-40151.28834	159891.2541	0	299938	1567
266	Vila Nova de Paiva	32689.22588	131161.5346	0	4723	NA
267	Vila Nova de Poiares	-10765.18704	59589.4313	0	6929	7
268	Vila Pouca de Aguiar	42002.42192	203786.3286	0	12009	6
269	Vila Real	32921.80456	181566.2896	0	49868	154
270	Vila Real de Santo Antonio	63131.8999	-275056.1676	0	18888	13
271	Vila Velha de Rodao	38984.5364	1631.093535	0	3167	NA
272	Vila Verde	-25616.19217	219845.4452	0	46865	233
273	Vila Vicosa	62840.6109	-99256.22949	0	7719	NA
274	Vimioso	134442.3885	213772.2961	0	4070	11
275	Vinhais	92930.91737	240028.8394	0	7847	30
276	Viseu	19004.45525	110313.1845	0	96991	101
277	Vizela	-14590.57935	189699.0916	0	23840	140
278	Vouzela	3032.851503	113799.36	0	9661	8
