"nome_cc"	"x"	"y"	"objectid"	"cod"	"popres18"	"z"	"casos"
"117"	"Loures"	-86487.962545	-94845.8386877	117	"1701107"	211359	0	1066
"118"	"Lourinhã"	-100966.632463	-45464.121355	118	"16B1108"	25670	0	9
"119"	"Lousã"	-8214.90427072	48711.6877024	119	"16E0607"	17128	0	20
"120"	"Lousada"	-11613.0114433	179588.61015	120	"11C1305"	46790	0	337
"121"	"Mação"	9663.08212747	-11052.8180328	121	"16I1413"	6323	0	NA
"122"	"Macedo de Cavaleiros"	97405.6271145	208237.093663	122	"11E0405"	14550	0	22
"123"	"Mafra"	-104231.067483	-78340.1885646	123	"1701109"	84008	0	131
"124"	"Maia"	-40624.61775	173958.079502	124	"11A1306"	137727	0	944
"125"	"Mangualde"	31966.2370886	104283.406489	125	"16G1806"	18618	0	78
"126"	"Manteigas"	51460.4634977	83919.8255576	126	"16J0908"	3037	0	7
"127"	"Marco de Canaveses"	-1597.40817255	167395.120503	127	"11C1307"	51661	0	90
"128"	"Marinha Grande"	-70435.6451477	11397.3945339	128	"16F1010"	38404	0	18
"129"	"Marvão"	64809.4679632	-34023.5749033	129	"1861210"	3054	0	NA
"130"	"Matosinhos"	-42774.7876234	171162.908211	130	"11A1308"	174382	0	1280
"131"	"Mealhada"	-26327.420725	79301.7421701	131	"16E0111"	19892	0	18
"132"	"Mêda"	73883.5617	144875.657345	132	"16J0909"	4617	0	NA
"133"	"Melgaço"	-8527.30325	270843.654568	133	"1111603"	8144	0	63
"134"	"Mértola"	41150.3468965	-218200.001365	134	"1840209"	6202	0	NA
"135"	"Mesão Frio"	21529.38945	166117.031868	135	"11D1704"	3996	0	NA
"136"	"Mira"	-51567.9593796	83026.1194104	136	"16E0608"	11831	0	6
"137"	"Miranda do Corvo"	-16631.4044094	47736.1592744	137	"16E0609"	12687	0	17
"138"	"Miranda do Douro"	149663.550519	202812.202171	138	"11E0406"	6877	0	10
"139"	"Mirandela"	79786.5679325	201236.44936	139	"11E0407"	21808	0	21
"140"	"Mogadouro"	120027.275125	183331.512372	140	"11E0408"	8481	0	5
"141"	"Moimenta da Beira"	44737.9248322	146775.98871	141	"11D1807"	9729	0	15
"142"	"Moita"	-76583.0071772	-113408.475216	142	"1701506"	64526	0	160
"143"	"Monção"	-24976.0567912	264020.886814	143	"1111604"	17902	0	116
"144"	"Monchique"	-39324.474511	-259586.648167	144	"1500809"	5182	0	NA
"145"	"Mondim de Basto"	15429.2452207	192583.355176	145	"1191705"	6985	0	NA
"146"	"Monforte"	62236.7301073	-70479.9785867	146	"1861211"	2989	0	NA
"147"	"Montalegre"	22434.7340966	230859.752861	147	"11B1706"	9090	0	NA
"148"	"Montemor-o-Novo"	-7262.65840096	-111645.837009	148	"1870706"	15740	0	8
"149"	"Montemor-o-Velho"	-42239.7172913	61501.281823	149	"16E0610"	25230	0	30
"150"	"Montijo"	-74672.6365202	-106323.804323	150	"1701507"	56887	0	120
"151"	"Mora"	-4247.22024028	-79379.2819528	151	"1870707"	4188	0	NA
"152"	"Mortágua"	-5703.162675	78004.3233971	152	"16E1808"	8856	0	11
"153"	"Moura"	64207.7207428	-170277.13106	153	"1840210"	13749	0	71
"154"	"Mourão"	73152.5601839	-144243.470951	154	"1870708"	2456	0	NA
"155"	"Murça"	56871.5248116	193902.479442	155	"11D1707"	5480	0	20
"156"	"Murtosa"	-44013.9757659	118703.706028	156	"16D0112"	10244	0	17
"157"	"Nazaré"	-79357.5348	-5968.33264345	157	"16B1011"	14180	0	3
"158"	"Nelas"	23504.9041118	94712.7002622	158	"16G1809"	13030	0	19
"159"	"Nisa"	43080.5863157	-16644.520749	159	"1861212"	6149	0	NA
"160"	"Óbidos"	-89107.4250268	-32775.1613099	160	"16B1012"	11719	0	NA
"161"	"Odemira"	-41631.1357645	-227851.930915	161	"1810211"	24621	0	11
"162"	"Odivelas"	-91165.6944784	-96846.7840853	162	"1701116"	159602	0	565
"163"	"Oeiras"	-96477.829211	-106005.094121	163	"1701110"	176218	0	443
"164"	"Oleiros"	20206.7786544	28688.2274023	164	"16H0506"	5045	0	NA
"165"	"Olhão"	27604.8092354	-290854.054318	165	"1500810"	44607	0	14
"166"	"Oliveira de Azeméis"	-29640.417	130485.971132	166	"11A0113"	66113	0	210
"167"	"Oliveira de Frades"	-4653.36394264	117981.993858	167	"16G1810"	9920	0	12
"168"	"Oliveira do Bairro"	-34742.3303764	96591.5337759	168	"16D0114"	23944	0	39
"169"	"Oliveira do Hospital"	24133.1444345	76305.6724999	169	"16E0611"	19331	0	27
"170"	"Ourém"	-38290.541593	531.368948471	170	"16I1421"	44068	0	33
"171"	"Ourique"	-9832.03573059	-224596.748126	171	"1840212"	4653	0	NA
"172"	"Ovar"	-41483.5215232	133001.833932	172	"16D0115"	54120	0	662
"173"	"Paços de Ferreira"	-19471.2570319	180606.658758	173	"11C1309"	56709	0	310
"174"	"Palmela"	-66626.0352992	-113956.255485	174	"1701508"	64214	0	37
"175"	"Pampilhosa da Serra"	20559.9015352	47197.6132645	175	"16E0612"	4052	0	NA
"176"	"Paredes"	-22014.8416	170566.458434	176	"11A1310"	86072	0	337
"177"	"Paredes de Coura"	-35550.7108038	248569.701498	177	"1111605"	8560	0	7
"178"	"Pedrógão Grande"	-2246.8301128	31195.3622956	178	"16F1013"	3429	0	4
"179"	"Penacova"	-13864.933425	68904.1105317	179	"16E0613"	13812	0	22
"180"	"Penafiel"	-14405.4733	167050.33428	180	"11C1311"	69922	0	171
"181"	"Penalva do Castelo"	36006.8898501	111883.900176	181	"16G1811"	7175	0	NA
"182"	"Penamacor"	86848.7207463	56387.7220976	182	"16H0507"	4831	0	NA
"183"	"Penedono"	62187.4977929	147173.826228	183	"11D1812"	2610	0	NA
"184"	"Penela"	-21730.039282	38707.6840416	184	"16E0614"	5439	0	5
"185"	"Peniche"	-107701.556643	-33431.146697	185	"16B1014"	26487	0	11
"186"	"Peso da Régua"	28600.32505	167091.285663	186	"11D1708"	15830	0	65
"187"	"Pinhel"	89365.0286017	123929.286583	187	"16J0910"	8607	0	23
"188"	"Pombal"	-43385.6065066	27399.3526671	188	"16F1015"	51684	0	60
"189"	"Ponte da Barca"	-20683.865075	237187.018866	189	"1111606"	11210	0	6
"190"	"Ponte de Lima"	-37529.6590366	231315.377995	190	"1111607"	41499	0	29
"191"	"Ponte de Sor"	11126.503	-46746.4851565	191	"1861213"	15092	0	NA
"192"	"Portalegre"	60472.686839	-41656.1684825	192	"1861214"	22359	0	6
"193"	"Portel"	36987.3023703	-151431.585927	193	"1870709"	5870	0	6
"194"	"Portimão"	-36255.8753617	-275705.504009	194	"1500811"	55416	0	39
"195"	"Porto"	-40528.6164261	165047.362424	195	"11A1312"	215284	0	1357
"196"	"Porto de Mós"	-59296.6673735	-6891.33653217	196	"16F1016"	23288	0	9
"197"	"Póvoa de Lanhoso"	-11235.9993326	212075.864772	197	"1190309"	21446	0	61
"198"	"Póvoa de Varzim"	-50905.5930597	190875.301241	198	"11A1313"	62510	0	158
"199"	"Proença-a-Nova"	19768.9511501	6750.13034175	199	"16H0508"	7390	0	NA
"200"	"Redondo"	46256.7785943	-113121.531689	200	"1870710"	6387	0	NA
"201"	"Reguengos de Monsaraz"	50689.6618582	-138563.248928	201	"1870711"	10036	0	7
"202"	"Resende"	15857.6170466	159269.56725	202	"11C1813"	10241	0	64
"203"	"Ribeira de Pena"	26257.5251198	205308.217825	203	"11B1709"	6031	0	3
"204"	"Rio Maior"	-69656.7674647	-36340.2404347	204	"1851414"	20340	0	20
"205"	"Sabrosa"	46283.246025	175323.909934	205	"11D1710"	5917	0	7
"206"	"Sabugal"	88674.7733225	75037.0406772	206	"16J0911"	10748	0	NA
"207"	"Salvaterra de Magos"	-49389.21015	-69667.6247441	207	"1851415"	21268	0	12
"208"	"Santa Comba Dão"	-514.63365	82460.5080516	208	"16G1814"	10506	0	9
